,id,url,title
1,-6K2nN9aWsg,https://www.youtube.com/watch?v=-6K2nN9aWsg,Finding a place to belong outside the comfort zone | Simon Wallis | TEDxNagoyaU
2,0KTVqevvEjo,https://www.youtube.com/watch?v=0KTVqevvEjo,O's Shadow | Kentaro Onishi | TEDxHamamatsu
3,0L8zz6v-3lw,https://www.youtube.com/watch?v=0L8zz6v-3lw,What is special exists in usual lives | Yuka Yamada | TEDxHamamatsu
4,0SI8rms050Q,https://www.youtube.com/watch?v=0SI8rms050Q,Tackle a Local Welfare with Children | Chiaki Fujino | TEDxAnjo
5,0jJLyvNn_to,https://www.youtube.com/watch?v=0jJLyvNn_to,Extreme Ironing motivates and inspires your people | MAKI | TEDxKagoshimaUniversity
6,0jKavPI5DUw,https://www.youtube.com/watch?v=0jKavPI5DUw,Imagination gives life to Noh | Tatsushige Udaka | TEDxKyotoUniversity
7,0nNCXFT_Ots,https://www.youtube.com/watch?v=0nNCXFT_Ots,How a 12 year-old girl became one of the youngest Japanese patent holders | Asuka Kamiya | TEDxKyoto
8,1LQjIAV1OpA,https://www.youtube.com/watch?v=1LQjIAV1OpA,Go to Space by using Elevator | Yoshiki Yamagiwa | TEDxHamamatsu
9,1cxxbFC6ViU,https://www.youtube.com/watch?v=1cxxbFC6ViU,Autonomous Buses Make a Sustainable Future | Atsuto Suyama | TEDxHamamatsu
10,1dhlapSqTXk,https://www.youtube.com/watch?v=1dhlapSqTXk,Creating an awareness of refugees through personal understanding | Katsuya Soda | TEDxKyoto
11,2eqm3LNZMgs,https://www.youtube.com/watch?v=2eqm3LNZMgs,大切な悩み | Akihide Toda | TEDxICU
12,3C8F-Z1gkeE,https://www.youtube.com/watch?v=3C8F-Z1gkeE,いじめを語る上で大人が向き合うべき大切なこと | Mariko Mashimo | TEDxHimi
13,3VlNA4zev9o,https://www.youtube.com/watch?v=3VlNA4zev9o,"Make ""the Existence"" Art | Ichitaro Suzuki | TEDxAnjo"
14,3X9XUdqTpTs,https://www.youtube.com/watch?v=3X9XUdqTpTs,Two life hacks which changed my life | Hirofumi Ono | TEDxUTokyo
15,3_Jits-nxnQ,https://www.youtube.com/watch?v=3_Jits-nxnQ,Dream Support Meeting for children (夢応援面談のススメ) | Yu Kosuda | TEDxSaku
16,3cU5gRwbRiU,https://www.youtube.com/watch?v=3cU5gRwbRiU,Five unnatural ways to build social capital | Takehide MURAKAMI | TEDxKobeSalon
17,3izd0Tcy89g,https://www.youtube.com/watch?v=3izd0Tcy89g,Wadaiko: Celebrating the rhythmic beauty of drumming | Shien | TEDxKyoto
18,3qUax2xaCg0,https://www.youtube.com/watch?v=3qUax2xaCg0,Hand-operated music box and three suggestions| Sachiya Sasaki | TEDxHamamatsu
19,46PxgGJiqqA,https://www.youtube.com/watch?v=46PxgGJiqqA,口伝で受け継ぐ「いのち」 | Yoshitomo Ohara | TEDxHimi
20,4PN9A5daBM0,https://www.youtube.com/watch?v=4PN9A5daBM0,The way to happiness by three questions | Shinkoh Ohyama | TEDxKumamotoshi
21,4TkL1N-EThU,https://www.youtube.com/watch?v=4TkL1N-EThU,Attachment - A guide for parents and children | Akemi Tomoda | TEDxKumamotoshi
22,4glzSs3SGH4,https://www.youtube.com/watch?v=4glzSs3SGH4,「難民の母」の絆が教えてくれたこと /What the story of Mother of Refugees tells us | Hiromi Horie | TEDxFulbrightTokyo
23,4jfcE8u9KOM,https://www.youtube.com/watch?v=4jfcE8u9KOM,感動を創造する言葉の伝え方 | Masaki Sato | TEDxMeijiUniversity
24,5UcSV32dAWg,https://www.youtube.com/watch?v=5UcSV32dAWg,遊び心と価値の創造 | 川崎 宏治 | TEDxNagoyaU
25,6GdwRQO0Wlw,https://www.youtube.com/watch?v=6GdwRQO0Wlw,Chinese Lion Dance and how its culture has been passed on | KOBE Chinese lion dance team | TEDxKobe
26,6qaLSuF3RmM,https://www.youtube.com/watch?v=6qaLSuF3RmM,嗚呼と | Ryotaro Kurokawa | TEDxNagoyaU
27,6rTt0Ak4nuA,https://www.youtube.com/watch?v=6rTt0Ak4nuA,An encouragement of RIKEJO-ish life | Noyuri Mima | TEDxSapporo
28,6v8v_W66MiU,https://www.youtube.com/watch?v=6v8v_W66MiU,What will LGBTs' future be? | Soushi Matsuoka | TEDx Meiji University
29,7B8vMUrRYW4,https://www.youtube.com/watch?v=7B8vMUrRYW4,The Fish on Your Plate: Is it Really Fresh? | Kumiko Fukuda | TEDxTohoku
30,7GUhszccVEA,https://www.youtube.com/watch?v=7GUhszccVEA,ヒトが宇宙へ行くことの人類学 | Hiroaki Isobe | TEDxKyotoUniversity
31,7UvgnLpUHKQ,https://www.youtube.com/watch?v=7UvgnLpUHKQ,JADO entertains us | HANAOKA Yoichi and YAMANE Shiboru | TEDxKobe
32,8-0rK94547M,https://www.youtube.com/watch?v=8-0rK94547M,Shyhack : Hack your shyness | Takeshi NISHIDA | TEDxKobe
33,86Z-p3296RQ,https://www.youtube.com/watch?v=86Z-p3296RQ,Cultivating future agriculture through innovative distribution | Makoto Miyachi | TEDxHamamatsu
34,8c6Jhx8r7is,https://www.youtube.com/watch?v=8c6Jhx8r7is,EVデロリアンが未来は自分の手で作れることを教えてくれた | Tomoyasu Fujii | TEDxHimi
35,8mAPA3YKC_A,https://www.youtube.com/watch?v=8mAPA3YKC_A,A significant role of religions ― a quest for world peace | Daiko Matsuyama | TEDxKyoto
36,9RHlbjQbZLo,https://www.youtube.com/watch?v=9RHlbjQbZLo,Mathematics and Us | Takehiko Nakama | TEDxDoshishaU
37,9_QS74NKTEo,https://www.youtube.com/watch?v=9_QS74NKTEo,Exploring the North Pole | Yasunaga Ogita | TEDxSapporo
38,9g456WFxU4s,https://www.youtube.com/watch?v=9g456WFxU4s,『あいうえお』ネパール・日本の親善と震災 | Dilip BK Sunar | TEDxFukuoka
39,9wmgArfNO4o,https://www.youtube.com/watch?v=9wmgArfNO4o,The future of toilets learning from the past | Yu Yamakami | TEDxKobe
40,9z39oxMj_t8,https://www.youtube.com/watch?v=9z39oxMj_t8,The key to have a wonderful life -- Make your barrier your value! | Hiromi Kishida | TEDxYouth@Kobe
41,AAEqSYOvFmc,https://www.youtube.com/watch?v=AAEqSYOvFmc,The bike…and beyond | Youhei Uchino | TEDxKyoto
42,AJKNA-Satbg,https://www.youtube.com/watch?v=AJKNA-Satbg,Sweets to make you happy | Hajime Ishimizu | TEDxSapporo
43,AKd2fTtAOHs,https://www.youtube.com/watch?v=AKd2fTtAOHs,わくわくの輪郭　Contour of WAKUWAKU | Hitomi Matsui | TEDxDoshishaU
44,Ab-KZT06gR0,https://www.youtube.com/watch?v=Ab-KZT06gR0,Inclusion — A fair World for Everyone | Lot FALCON | TEDxAnjo
45,Aj-DXM5Zqms,https://www.youtube.com/watch?v=Aj-DXM5Zqms,Rising into space -- micro-satellites and micro-rovers change the game | Kazuya Yoshida | TEDxTohoku
46,BFgvhZ14hDI,https://www.youtube.com/watch?v=BFgvhZ14hDI,What is beautiful music? | Rii NUMATA | TEDxKobe
