timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, clocks.current.sm [MHz]
2026/08/28 17:21:28.988, 0, 69.81, 0, 0, 0, 25, 345
2026/08/28 17:21:28.989, 1, 69.62, 0, 0, 0, 25, 345
2026/08/28 17:21:28.990, 2, 70.69, 0, 0, 0, 23, 345
2026/08/28 17:21:28.990, 3, 69.90, 0, 0, 0, 26, 345
2026/08/28 17:21:28.993, 4, 71.25, 0, 0, 0, 25, 345
2026/08/28 17:21:28.994, 5, 70.37, 0, 0, 0, 23, 345
2026/08/28 17:21:28.994, 6, 70.90, 0, 0, 0, 25, 345
2026/08/28 17:21:28.995, 7, 69.81, 0, 0, 0, 23, 345
2026/08/28 17:21:33.996, 0, 69.78, 0, 0, 0, 25, 345
2026/08/28 17:21:33.996, 1, 69.63, 0, 0, 0, 25, 345
2026/08/28 17:21:33.996, 2, 70.68, 0, 0, 0, 23, 345
2026/08/28 17:21:33.996, 3, 69.86, 0, 0, 0, 26, 345
2026/08/28 17:21:33.996, 4, 71.24, 0, 0, 0, 25, 345
2026/08/28 17:21:33.996, 5, 70.40, 0, 0, 0, 23, 345
2026/08/28 17:21:33.996, 6, 70.95, 0, 0, 0, 25, 345
2026/08/28 17:21:33.996, 7, 69.81, 0, 0, 0, 23, 345
2026/08/28 17:21:38.996, 0, 69.82, 0, 0, 4, 25, 345
2026/08/28 17:21:38.997, 1, 69.70, 0, 0, 4, 25, 345
2026/08/28 17:21:38.997, 2, 70.70, 0, 0, 4, 23, 345
2026/08/28 17:21:38.997, 3, 69.88, 0, 0, 4, 26, 345
2026/08/28 17:21:38.997, 4, 71.25, 0, 0, 4, 25, 345
2026/08/28 17:21:38.997, 5, 70.35, 0, 0, 4, 23, 345
2026/08/28 17:21:38.997, 6, 70.98, 0, 0, 4, 25, 345
2026/08/28 17:21:38.997, 7, 69.89, 0, 0, 4, 23, 345
2026/08/28 17:21:43.997, 0, 69.81, 0, 0, 4, 25, 345
2026/08/28 17:21:43.997, 1, 69.70, 0, 0, 4, 25, 345
2026/08/28 17:21:43.997, 2, 70.72, 0, 0, 4, 23, 345
2026/08/28 17:21:43.997, 3, 69.86, 0, 0, 4, 26, 345
2026/08/28 17:21:43.997, 4, 71.28, 0, 0, 4, 25, 345
2026/08/28 17:21:43.997, 5, 70.35, 0, 0, 4, 23, 345
2026/08/28 17:21:43.997, 6, 70.91, 0, 0, 4, 25, 345
2026/08/28 17:21:43.997, 7, 69.86, 0, 0, 4, 23, 345
2026/08/28 17:21:48.998, 0, 69.77, 0, 0, 4, 25, 345
2026/08/28 17:21:48.998, 1, 69.66, 0, 0, 4, 25, 345
2026/08/28 17:21:48.998, 2, 70.73, 0, 0, 4, 23, 345
2026/08/28 17:21:48.998, 3, 69.89, 0, 0, 4, 26, 345
2026/08/28 17:21:48.998, 4, 71.25, 0, 0, 4, 25, 345
2026/08/28 17:21:48.998, 5, 70.36, 0, 0, 4, 23, 345
2026/08/28 17:21:48.998, 6, 70.95, 0, 0, 4, 25, 345
2026/08/28 17:21:48.998, 7, 69.84, 0, 0, 4, 23, 345
2026/08/28 17:21:53.999, 0, 69.75, 0, 0, 4, 25, 345
2026/08/28 17:21:53.999, 1, 69.64, 0, 0, 4, 25, 345
2026/08/28 17:21:53.999, 2, 70.68, 0, 0, 4, 23, 345
2026/08/28 17:21:53.999, 3, 69.83, 0, 0, 4, 26, 345
2026/08/28 17:21:53.999, 4, 71.28, 0, 0, 4, 25, 345
2026/08/28 17:21:53.999, 5, 70.35, 0, 0, 4, 23, 345
2026/08/28 17:21:53.999, 6, 70.89, 0, 0, 4, 25, 345
2026/08/28 17:21:53.999, 7, 69.79, 0, 0, 4, 23, 345
2026/08/28 17:21:58.999, 0, 115.07, 0, 0, 529, 27, 1980
2026/08/28 17:21:58.999, 1, 118.92, 0, 0, 529, 26, 1980
2026/08/28 17:21:59.000, 2, 115.39, 0, 0, 529, 24, 1980
2026/08/28 17:21:59.000, 3, 115.20, 0, 0, 529, 27, 1980
2026/08/28 17:21:59.000, 4, 116.54, 0, 0, 529, 26, 1980
2026/08/28 17:21:59.000, 5, 116.07, 0, 0, 529, 25, 1980
2026/08/28 17:21:59.000, 6, 117.99, 0, 0, 529, 27, 1980
2026/08/28 17:21:59.000, 7, 114.99, 0, 0, 529, 24, 1980
2026/08/28 17:22:04.000, 0, 114.89, 0, 0, 1755, 27, 1980
2026/08/28 17:22:04.000, 1, 118.52, 0, 0, 1755, 27, 1980
2026/08/28 17:22:04.000, 2, 115.50, 0, 0, 1755, 25, 1980
2026/08/28 17:22:04.000, 3, 114.97, 0, 0, 1755, 27, 1980
2026/08/28 17:22:04.000, 4, 116.64, 0, 0, 1755, 27, 1980
2026/08/28 17:22:04.000, 5, 116.23, 0, 0, 1755, 25, 1980
2026/08/28 17:22:04.000, 6, 118.00, 0, 0, 1755, 27, 1980
2026/08/28 17:22:04.000, 7, 114.96, 0, 0, 1755, 25, 1980
2026/08/28 17:22:09.001, 0, 115.14, 0, 0, 4013, 27, 1980
2026/08/28 17:22:09.001, 1, 118.79, 0, 0, 4013, 27, 1980
2026/08/28 17:22:09.001, 2, 115.73, 0, 0, 4013, 25, 1980
2026/08/28 17:22:09.001, 3, 115.28, 0, 0, 4013, 27, 1980
2026/08/28 17:22:09.001, 4, 116.90, 0, 0, 4013, 27, 1980
2026/08/28 17:22:09.001, 5, 115.60, 0, 0, 4013, 25, 1980
2026/08/28 17:22:09.001, 6, 118.21, 0, 0, 4013, 27, 1980
2026/08/28 17:22:09.001, 7, 114.58, 0, 0, 4013, 25, 1980
2026/08/28 17:22:14.002, 0, 115.27, 0, 0, 4013, 27, 1980
2026/08/28 17:22:14.011, 1, 118.94, 0, 0, 4013, 27, 1980
2026/08/28 17:22:14.013, 2, 115.85, 0, 0, 4013, 25, 1980
2026/08/28 17:22:14.066, 3, 115.39, 0, 0, 4013, 28, 1980
