timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, clocks.current.sm [MHz]
2026/08/28 23:49:20.721, 0, 71.41, 0, 0, 1, 36, 345
2026/08/28 23:49:20.721, 1, 69.74, 0, 0, 1, 29, 345
2026/08/28 23:49:20.722, 2, 71.90, 0, 0, 1, 28, 345
2026/08/28 23:49:20.722, 3, 72.14, 0, 0, 1, 36, 345
2026/08/28 23:49:20.722, 4, 72.89, 0, 0, 1, 37, 345
2026/08/28 23:49:20.722, 5, 71.18, 0, 0, 1, 30, 345
2026/08/28 23:49:20.723, 6, 72.76, 0, 0, 1, 35, 345
2026/08/28 23:49:20.723, 7, 73.45, 0, 0, 1, 28, 345
2026/08/28 23:49:25.723, 0, 71.31, 0, 0, 1, 36, 345
2026/08/28 23:49:25.723, 1, 69.76, 0, 0, 1, 29, 345
2026/08/28 23:49:25.723, 2, 71.87, 0, 0, 1, 28, 345
2026/08/28 23:49:25.723, 3, 72.05, 0, 0, 1, 35, 345
2026/08/28 23:49:25.723, 4, 72.73, 0, 0, 1, 37, 345
2026/08/28 23:49:25.724, 5, 71.16, 0, 0, 1, 30, 345
2026/08/28 23:49:25.724, 6, 72.69, 0, 0, 1, 35, 345
2026/08/28 23:49:25.724, 7, 73.43, 0, 0, 1, 28, 345
2026/08/28 23:49:30.724, 0, 71.22, 0, 0, 4, 36, 345
2026/08/28 23:49:30.724, 1, 69.71, 0, 0, 4, 28, 345
2026/08/28 23:49:30.724, 2, 71.86, 0, 0, 4, 27, 345
2026/08/28 23:49:30.724, 3, 71.96, 0, 0, 4, 35, 345
2026/08/28 23:49:30.724, 4, 72.68, 0, 0, 4, 37, 345
2026/08/28 23:49:30.724, 5, 71.14, 0, 0, 4, 30, 345
2026/08/28 23:49:30.724, 6, 72.59, 0, 0, 4, 34, 345
2026/08/28 23:49:30.724, 7, 73.39, 0, 0, 4, 28, 345
2026/08/28 23:49:35.725, 0, 71.30, 0, 0, 4, 35, 345
2026/08/28 23:49:35.725, 1, 69.71, 0, 0, 4, 28, 345
2026/08/28 23:49:35.725, 2, 71.85, 0, 0, 4, 27, 345
2026/08/28 23:49:35.725, 3, 71.86, 0, 0, 4, 35, 345
2026/08/28 23:49:35.725, 4, 72.59, 0, 0, 4, 36, 345
2026/08/28 23:49:35.725, 5, 71.10, 0, 0, 4, 30, 345
2026/08/28 23:49:35.725, 6, 72.57, 0, 0, 4, 34, 345
2026/08/28 23:49:35.725, 7, 73.39, 0, 0, 4, 27, 345
2026/08/28 23:49:40.725, 0, 71.23, 0, 0, 4, 35, 345
2026/08/28 23:49:40.726, 1, 69.68, 0, 0, 4, 28, 345
2026/08/28 23:49:40.730, 2, 71.80, 0, 0, 4, 27, 345
2026/08/28 23:49:40.733, 3, 71.76, 0, 0, 4, 34, 345
2026/08/28 23:49:40.736, 4, 72.48, 0, 0, 4, 36, 345
2026/08/28 23:49:40.741, 5, 71.13, 0, 0, 4, 30, 345
2026/08/28 23:49:40.747, 6, 72.59, 0, 0, 4, 34, 345
2026/08/28 23:49:40.747, 7, 73.23, 0, 0, 4, 27, 345
2026/08/28 23:49:45.748, 0, 71.14, 0, 0, 4, 35, 345
2026/08/28 23:49:45.748, 1, 69.67, 0, 0, 4, 28, 345
2026/08/28 23:49:45.748, 2, 71.77, 0, 0, 4, 27, 345
2026/08/28 23:49:45.748, 3, 71.66, 0, 0, 4, 34, 345
2026/08/28 23:49:45.748, 4, 72.41, 0, 0, 4, 36, 345
2026/08/28 23:49:45.748, 5, 71.08, 0, 0, 4, 30, 345
2026/08/28 23:49:45.748, 6, 72.54, 0, 0, 4, 34, 345
2026/08/28 23:49:45.749, 7, 73.26, 0, 0, 4, 27, 345
2026/08/28 23:49:50.749, 0, 121.25, 0, 0, 530, 36, 1980
2026/08/28 23:49:50.749, 1, 112.94, 0, 0, 530, 29, 1980
2026/08/28 23:49:50.749, 2, 113.87, 0, 0, 530, 28, 1980
2026/08/28 23:49:50.749, 3, 119.51, 0, 0, 530, 35, 1980
2026/08/28 23:49:50.749, 4, 118.79, 0, 0, 530, 37, 1980
2026/08/28 23:49:50.749, 5, 117.86, 0, 0, 530, 31, 1980
2026/08/28 23:49:50.749, 6, 120.31, 0, 0, 530, 35, 1980
2026/08/28 23:49:50.749, 7, 119.88, 0, 0, 530, 28, 1980
2026/08/28 23:49:55.750, 0, 121.25, 0, 0, 1752, 36, 1980
2026/08/28 23:49:55.750, 1, 112.93, 0, 0, 1752, 29, 1980
2026/08/28 23:49:55.750, 2, 113.99, 0, 0, 1752, 29, 1980
2026/08/28 23:49:55.750, 3, 119.48, 0, 0, 1752, 35, 1980
2026/08/28 23:49:55.750, 4, 118.80, 0, 0, 1752, 37, 1980
2026/08/28 23:49:55.750, 5, 117.97, 0, 0, 1752, 31, 1980
2026/08/28 23:49:55.750, 6, 120.26, 0, 0, 1752, 35, 1980
2026/08/28 23:49:55.750, 7, 120.17, 0, 0, 1752, 29, 1980
2026/08/28 23:50:00.750, 0, 121.32, 0, 0, 2192, 36, 1980
2026/08/28 23:50:00.752, 1, 113.11, 0, 0, 2192, 30, 1980
2026/08/28 23:50:00.752, 2, 114.07, 1, 0, 2192, 29, 1980
2026/08/28 23:50:00.752, 3, 119.55, 0, 0, 2192, 35, 1980
2026/08/28 23:50:00.753, 4, 118.85, 1, 0, 2192, 37, 1980
2026/08/28 23:50:00.754, 5, 118.13, 1, 0, 2192, 31, 1980
2026/08/28 23:50:00.755, 6, 120.40, 0, 0, 2192, 35, 1980
2026/08/28 23:50:00.755, 7, 120.11, 0, 0, 2192, 29, 1980
2026/08/28 23:50:05.756, 0, 121.47, 0, 0, 3944, 36, 1980
2026/08/28 23:50:05.757, 1, 113.76, 0, 0, 3944, 30, 1980
2026/08/28 23:50:05.757, 2, 114.17, 0, 0, 3944, 29, 1980
2026/08/28 23:50:05.757, 3, 119.59, 0, 0, 3944, 35, 1980
2026/08/28 23:50:05.757, 4, 119.01, 0, 0, 3944, 37, 1980
2026/08/28 23:50:05.757, 5, 118.22, 0, 0, 3944, 31, 1980
2026/08/28 23:50:05.757, 6, 120.46, 0, 0, 3944, 35, 1980
2026/08/28 23:50:05.757, 7, 120.42, 0, 0, 3944, 29, 1980
2026/08/28 23:50:10.757, 0, 121.40, 0, 0, 3944, 36, 1980
2026/08/28 23:50:10.757, 1, 113.79, 0, 0, 3944, 30, 1980
2026/08/28 23:50:10.757, 2, 114.24, 0, 0, 3944, 29, 1980
2026/08/28 23:50:10.757, 3, 119.63, 0, 0, 3944, 35, 1980
2026/08/28 23:50:10.757, 4, 118.94, 0, 0, 3944, 37, 1980
2026/08/28 23:50:10.757, 5, 118.29, 0, 0, 3944, 31, 1980
2026/08/28 23:50:10.758, 6, 120.44, 0, 0, 3944, 35, 1980
