mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
1578-6379-0038_6415-111615-0009,1578.0,F,6415.0,F
3440-171009-0023_2911-12359-0019,3440.0,F,2911.0,M
2817-142371-0020_5393-19218-0035,2817.0,F,5393.0,F
7367-86737-0104_7402-90848-0037,7367.0,M,7402.0,M
2007-149877-0058_2092-145706-0072,2007.0,F,2092.0,F
1040-133433-0040_1455-138263-0032,1040.0,M,1455.0,M
3259-158083-0087_3607-135982-0031,3259.0,F,3607.0,M
4680-16026-0034_3112-9554-0020,4680.0,F,3112.0,F
6848-252323-0013_1235-135884-0040,6848.0,M,1235.0,M
89-218-0030_412-126975-0087,89.0,F,412.0,M
831-130739-0007_2952-408-0008,831.0,M,2952.0,M
87-121553-0098_2764-36616-0006,87.0,F,2764.0,F
8312-279791-0040_3983-5371-0004,8312.0,F,3983.0,F
625-132112-0052_7800-283478-0014,625.0,M,7800.0,F
6476-57446-0029_1447-130550-0026,6476.0,F,1447.0,F
3723-171115-0015_3112-9555-0091,3723.0,M,3112.0,F
19-198-0036_6818-68772-0039,19.0,F,6818.0,F
5049-25947-0112_3486-166424-0064,5049.0,M,3486.0,M
6209-34601-0016_6415-100596-0035,6209.0,M,6415.0,F
211-122442-0071_32-21631-0011,211.0,F,32.0,F
1334-135589-0052_19-227-0012,1334.0,M,19.0,F
8630-305212-0040_163-122947-0047,8630.0,M,163.0,M
4859-29340-0028_3699-47246-0009,4859.0,M,3699.0,M
163-121908-0003_5789-57195-0004,163.0,M,5789.0,F
1737-148989-0034_1447-130550-0014,1737.0,F,1447.0,F
8747-293952-0007_6476-57446-0065,8747.0,M,6476.0,F
5022-29405-0028_7859-102519-0045,5022.0,F,7859.0,F
32-4137-0036_233-134440-0004,32.0,F,233.0,M
7113-86041-0082_8425-292520-0010,7113.0,F,8425.0,M
8095-274346-0046_1502-122619-0096,8095.0,M,1502.0,F
5390-30096-0006_7113-86041-0064,5390.0,M,7113.0,F
1040-133433-0015_2836-5355-0004,1040.0,M,2836.0,F
311-124404-0082_125-121124-0011,311.0,M,125.0,F
5561-39621-0041_2384-152900-0029,5561.0,F,2384.0,M
1737-142397-0012_831-130739-0057,1737.0,F,831.0,M
4640-19187-0024_426-122821-0030,4640.0,F,426.0,F
2836-5354-0045_481-123720-0057,2836.0,F,481.0,M
2952-410-0030_1594-135914-0053,2952.0,M,1594.0,M
3168-173564-0032_2836-5354-0019,3168.0,M,2836.0,F
248-130652-0013_5703-47198-0054,248.0,F,5703.0,M
254-27760-0033_6415-116629-0033,254.0,M,6415.0,F
6081-42010-0009_8629-261140-0016,6081.0,M,8629.0,M
1502-122619-0021_1553-140048-0033,1502.0,F,1553.0,F
2391-145015-0043_3240-131231-0016,2391.0,F,3240.0,M
4214-7146-0000_8123-275193-0023,4214.0,F,8123.0,F
1502-122619-0020_7794-295948-0005,1502.0,F,7794.0,F
6848-252323-0027_6476-57446-0047,6848.0,M,6476.0,F
322-124147-0071_6529-62554-0052,322.0,F,6529.0,M
2416-152139-0043_3879-173592-0027,2416.0,F,3879.0,F
5022-29405-0036_248-130652-0009,5022.0,F,248.0,F
5104-33406-0037_1447-130550-0003,5104.0,M,1447.0,F
6078-54013-0074_125-121124-0043,6078.0,F,125.0,F
5322-7678-0026_2817-142371-0024,5322.0,M,2817.0,F
322-124147-0004_27-123349-0035,322.0,F,27.0,M
1081-125237-0078_446-123501-0011,1081.0,M,446.0,M
887-123289-0008_1363-139304-0030,887.0,F,1363.0,F
211-122442-0083_1455-134435-0006,211.0,F,1455.0,M
5192-19396-0019_625-132112-0011,5192.0,M,625.0,M
5192-19396-0030_8312-279790-0020,5192.0,M,8312.0,F
5652-19215-0019_2182-181173-0023,5652.0,F,2182.0,F
2002-139469-0032_1355-39947-0072,2002.0,M,1355.0,M
332-128985-0000_1088-134315-0032,332.0,M,1088.0,F
233-134440-0008_27-124992-0061,233.0,M,27.0,M
374-180298-0002_1455-138263-0026,374.0,M,1455.0,M
26-495-0059_3214-167606-0007,26.0,M,3214.0,M
426-122819-0013_911-128684-0063,426.0,F,911.0,M
4788-91208-0005_3374-298026-0011,4788.0,M,3374.0,M
60-121082-0054_2989-138028-0011,60.0,M,2989.0,F
8975-270782-0052_1334-135589-0051,8975.0,F,1334.0,M
5750-100289-0050_460-172359-0097,5750.0,M,460.0,M
5703-47212-0041_7635-105661-0028,5703.0,M,7635.0,F
201-122255-0026_8468-294887-0005,201.0,M,8468.0,F
2196-170379-0009_198-209-0004,2196.0,F,198.0,F
4267-78186-0016_911-128684-0002,4267.0,M,911.0,M
412-126975-0013_5322-7680-0026,412.0,M,5322.0,M
7800-283492-0005_5049-25947-0039,7800.0,F,5049.0,M
8629-261139-0002_5808-48608-0052,8629.0,M,5808.0,M
254-12312-0013_6147-34605-0030,254.0,M,6147.0,F
7059-77900-0004_2911-7601-0031,7059.0,F,2911.0,M
412-126975-0001_200-124139-0014,412.0,M,200.0,F
6529-62556-0028_89-219-0050,6529.0,M,89.0,F
2764-36616-0018_6836-61804-0010,2764.0,F,6836.0,M
909-131041-0013_2836-5354-0046,909.0,M,2836.0,F
8014-112602-0004_1088-129236-0009,8014.0,F,1088.0,F
6367-74004-0009_4441-76263-0021,6367.0,M,4441.0,M
2691-156745-0009_8312-279790-0038,2691.0,F,8312.0,F
458-126290-0009_1898-145715-0041,458.0,M,1898.0,F
4195-17507-0010_8088-284756-0075,4195.0,F,8088.0,M
332-128985-0027_26-495-0081,332.0,M,26.0,M
441-130108-0005_4441-76262-0036,441.0,F,4441.0,M
8609-262281-0038_1263-138246-0015,8609.0,M,1263.0,F
6081-41997-0022_26-495-0088,6081.0,M,26.0,M
5808-54425-0029_1355-39947-0017,5808.0,M,1355.0,M
3214-167607-0007_7635-105409-0009,3214.0,M,7635.0,F
5390-30096-0000_460-172359-0070,5390.0,M,460.0,M
4859-26870-0007_887-123289-0018,4859.0,M,887.0,F
5688-41232-0060_6147-34606-0000,5688.0,F,6147.0,F
1334-135589-0029_6064-56165-0008,1334.0,M,6064.0,F
909-131041-0004_5456-58161-0020,909.0,M,5456.0,M
7226-86964-0028_3664-11714-0019,7226.0,M,3664.0,M
5514-19192-0005_118-47824-0016,5514.0,F,118.0,M
196-122150-0030_5561-39621-0003,196.0,M,5561.0,F
1723-141149-0099_3879-173592-0043,1723.0,M,3879.0,F
233-155990-0017_1040-133433-0017,233.0,M,1040.0,M
3486-166424-0062_3983-5331-0009,3486.0,M,3983.0,F
27-123349-0049_6925-80680-0003,27.0,M,6925.0,M
2989-138028-0072_1088-134315-0019,2989.0,F,1088.0,F
1963-142393-0044_7800-283493-0026,1963.0,F,7800.0,F
8425-292520-0006_1970-10594-0001,8425.0,M,1970.0,F
3214-167602-0022_229-130880-0000,3214.0,M,229.0,M
302-123523-0008_2893-139322-0045,302.0,F,2893.0,M
250-142276-0054_6437-66173-0058,250.0,F,6437.0,M
7302-86815-0005_1246-135815-0000,7302.0,F,1246.0,F
446-123502-0022_4297-13009-0046,446.0,M,4297.0,F
5652-19215-0029_198-126831-0031,5652.0,F,198.0,F
2843-152918-0021_2817-142371-0062,2843.0,M,2817.0,F
1355-39947-0079_2391-145015-0042,1355.0,M,2391.0,F
3526-176653-0013_89-218-0042,3526.0,F,89.0,F
8063-274116-0007_332-128985-0069,8063.0,M,332.0,M
1081-125237-0111_3112-9555-0073,1081.0,M,3112.0,F
83-9960-0038_2092-145706-0005,83.0,F,2092.0,F
7302-86815-0010_39-121914-0044,7302.0,F,39.0,F
7148-82991-0000_6848-252323-0019,7148.0,F,6848.0,M
6437-66173-0015_4406-16882-0062,6437.0,M,4406.0,M
3830-12531-0026_8088-284756-0023,3830.0,M,8088.0,M
3664-178366-0016_307-127535-0009,3664.0,M,307.0,M
6529-62554-0027_4898-20016-0008,6529.0,M,4898.0,M
6563-63821-0005_4014-186176-0040,6563.0,M,4014.0,M
