mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,noise_path,noise_gain,offset
1578-6379-0038_6415-111615-0009,train-clean-100/1578/6379/1578-6379-0038.flac,0.4377082537050251,train-clean-100/6415/111615/6415-111615-0009.flac,0.4138291463149621,tr/20lo010l_0.062866_015o030q_-0.062866.wav,0.2912572627192476,1.1253304445134156
3440-171009-0023_2911-12359-0019,train-clean-100/3440/171009/3440-171009-0023.flac,0.5286614252789404,train-clean-100/2911/12359/2911-12359-0019.flac,0.3624953014229207,tr/20no0106_2.2193_20lo010k_-2.2193.wav,0.5073694010158424,1.3770172337561486
2817-142371-0020_5393-19218-0035,train-clean-100/2817/142371/2817-142371-0020.flac,0.5795535382253717,train-clean-100/5393/19218/5393-19218-0035.flac,0.2940151430866276,tr/40bo030d_2.4428_406c020d_-2.4428.wav,0.48062446544496834,1.1657689586326356
7367-86737-0104_7402-90848-0037,train-clean-100/7367/86737/7367-86737-0104.flac,0.7401366887627011,train-clean-100/7402/90848/7402-90848-0037.flac,0.756842675154677,tr/01ko0301_0.78197_01va0104_-0.78197.wav,2.3547370606786973,1.3975031590479545
2007-149877-0058_2092-145706-0072,train-clean-100/2007/149877/2007-149877-0058.flac,0.4832089559962283,train-clean-100/2092/145706/2092-145706-0072.flac,0.7351995155177078,tr/01co031a_1.2328_20oc0103_-1.2328.wav,0.9789586083090407,1.1669255465035078
1040-133433-0040_1455-138263-0032,train-clean-100/1040/133433/1040-133433-0040.flac,0.7087540676847398,train-clean-100/1455/138263/1455-138263-0032.flac,0.9611273421168481,tr/022a010p_0.32607_20bo010f_-0.32607.wav,1.19014859084104,1.4818053762912475
3259-158083-0087_3607-135982-0031,train-clean-100/3259/158083/3259-158083-0087.flac,0.5184151558118891,train-clean-100/3607/135982/3607-135982-0031.flac,1.1538205148883618,tr/027c0203_0.10109_20oo010j_-0.10109.wav,2.137852439587497,1.3814770179383051
4680-16026-0034_3112-9554-0020,train-clean-100/4680/16026/4680-16026-0034.flac,0.9018139913195963,train-clean-100/3112/9554/3112-9554-0020.flac,0.29774138193766964,tr/209o0104_1.4462_01wa0102_-1.4462.wav,1.6727256780364688,1.4112205540343297
6848-252323-0013_1235-135884-0040,train-clean-100/6848/252323/6848-252323-0013.flac,0.5064752654008634,train-clean-100/1235/135884/1235-135884-0040.flac,0.554184021301576,tr/205o010d_2.2487_029o030r_-2.2487.wav,0.6339199540899896,1.288103652069792
89-218-0030_412-126975-0087,train-clean-100/89/218/89-218-0030.flac,0.6312483567125199,train-clean-100/412/126975/412-126975-0087.flac,0.7426065203965215,tr/02bc0210_1.142_01bc0206_-1.142.wav,3.330383998025649,1.2184343114535992
831-130739-0007_2952-408-0008,train-clean-100/831/130739/831-130739-0007.flac,0.3171308925448901,train-clean-100/2952/408/2952-408-0008.flac,0.4776565753841696,tr/40jc0205_0.43381_20qc0101_-0.43381.wav,2.7864987958777174,1.4767029964729017
87-121553-0098_2764-36616-0006,train-clean-100/87/121553/87-121553-0098.flac,0.4094942809355454,train-clean-100/2764/36616/2764-36616-0006.flac,0.5315396261216968,tr/20vo0103_1.9751_205o010r_-1.9751.wav,1.0602427722990753,1.0228173549299338
8312-279791-0040_3983-5371-0004,train-clean-100/8312/279791/8312-279791-0040.flac,0.6073104750636218,train-clean-100/3983/5371/3983-5371-0004.flac,0.8237939520192821,tr/40gc0213_0.11631_40ec021c_-0.11631.wav,0.7084864338989915,1.2462553714475255
625-132112-0052_7800-283478-0014,train-clean-100/625/132112/625-132112-0052.flac,0.5985065717428629,train-clean-100/7800/283478/7800-283478-0014.flac,0.3166515228204698,tr/02eo0308_2.2405_01uo030q_-2.2405.wav,1.087504625437272,1.2884275764349602
6476-57446-0029_1447-130550-0026,train-clean-100/6476/57446/6476-57446-0029.flac,0.6587501156880835,train-clean-100/1447/130550/1447-130550-0026.flac,1.585032329970642,tr/01oa010f_2.2954_207o0101_-2.2954.wav,1.2213128815564025,1.0227474033123385
3723-171115-0015_3112-9555-0091,train-clean-100/3723/171115/3723-171115-0015.flac,0.6234971843331595,train-clean-100/3112/9555/3112-9555-0091.flac,0.27419164465070234,tr/01io0307_1.1171_40mo0316_-1.1171.wav,2.9823648761060753,1.4404268116608696
19-198-0036_6818-68772-0039,train-clean-100/19/198/19-198-0036.flac,0.5400837688348006,train-clean-100/6818/68772/6818-68772-0039.flac,0.529786048043546,tr/20so010n_0.097163_02do030v_-0.097163.wav,0.5738132597695588,1.3797671033869834
5049-25947-0112_3486-166424-0064,train-clean-100/5049/25947/5049-25947-0112.flac,0.5004493566919227,train-clean-100/3486/166424/3486-166424-0064.flac,0.8950160196633955,tr/01ko0319_1.5379_021c020m_-1.5379.wav,2.2190675671915994,1.4048650118962684
6209-34601-0016_6415-100596-0035,train-clean-100/6209/34601/6209-34601-0016.flac,0.4121770253875022,train-clean-100/6415/100596/6415-100596-0035.flac,0.8688050517148999,tr/016o030d_0.12182_20ao010a_-0.12182.wav,2.180406332583393,1.1588301002570849
211-122442-0071_32-21631-0011,train-clean-100/211/122442/211-122442-0071.flac,0.5387441435411915,train-clean-100/32/21631/32-21631-0011.flac,0.48523968650568516,tr/20no010j_0.77605_20ca010j_-0.77605.wav,0.2587486503837558,1.2086815689607586
1334-135589-0052_19-227-0012,train-clean-100/1334/135589/1334-135589-0052.flac,0.9181610902071042,train-clean-100/19/227/19-227-0012.flac,0.44882425502098816,tr/01tc020g_2.0102_01vc0213_-2.0102.wav,1.5676225363731997,1.1523985823957583
8630-305212-0040_163-122947-0047,train-clean-100/8630/305212/8630-305212-0040.flac,0.6417126674236783,train-clean-100/163/122947/163-122947-0047.flac,1.4207903177531709,tr/20sa010n_1.0794_01fo030o_-1.0794.wav,1.8149341510373973,1.326809342017405
4859-29340-0028_3699-47246-0009,train-clean-100/4859/29340/4859-29340-0028.flac,0.6115449099781783,train-clean-100/3699/47246/3699-47246-0009.flac,0.3944927484815119,tr/40gc0203_0.29418_40mc0219_-0.29418.wav,1.1660852487450246,1.319748801163181
163-121908-0003_5789-57195-0004,train-clean-100/163/121908/163-121908-0003.flac,0.6792263925040566,train-clean-100/5789/57195/5789-57195-0004.flac,0.47595015105029326,tr/20eo0104_1.755_206o0101_-1.755.wav,2.952984331357806,1.0319974513521972
1737-148989-0034_1447-130550-0014,train-clean-100/1737/148989/1737-148989-0034.flac,0.9650548752273221,train-clean-100/1447/130550/1447-130550-0014.flac,2.2871451328614887,tr/01io0314_0.21158_01go030j_-0.21158.wav,2.6087734846373904,1.0339408532825645
8747-293952-0007_6476-57446-0065,train-clean-100/8747/293952/8747-293952-0007.flac,0.8456349371227335,train-clean-100/6476/57446/6476-57446-0065.flac,0.35442912803665133,tr/01lo030x_2.1792_408o030h_-2.1792.wav,2.28623391754116,1.474687121488822
5022-29405-0028_7859-102519-0045,train-clean-100/5022/29405/5022-29405-0028.flac,0.6296367681506453,train-clean-100/7859/102519/7859-102519-0045.flac,0.8061240835030231,tr/01jo0314_0.30212_01fo030u_-0.30212.wav,1.9222671945509209,1.2539809503922807
32-4137-0036_233-134440-0004,train-clean-100/32/4137/32-4137-0036.flac,0.38681806360730275,train-clean-100/233/134440/233-134440-0004.flac,0.8169807795129144,tr/209o0104_1.4456_01dc0212_-1.4456.wav,0.48454242753744947,1.0044509556707064
